date,AQI
1987-01-31,242.4386524822695
1987-02-28,235.78792892156864
1987-03-31,294.55877192982456
1987-04-30,202.0126811594203
1987-05-31,307.9916666666667
1987-06-30,265.91666666666663
1987-07-31,208.525
1987-08-31,288.4444444444444
1987-09-30,250.97916666666666
1987-10-31,156.625
1987-11-30,255.0340909090909
1987-12-31,350.375
1988-01-31,211.0765015015015
1988-02-29,209.36088187702265
1988-03-31,245.01030701754385
1988-04-30,250.5625
1988-05-31,175.7657142857143
1988-06-30,104.22222222222223
1988-07-31,328.125
1988-08-31,149.46969696969697
1988-09-30,212.4916666666667
1988-10-31,85.94166666666666
1988-11-30,270.52604166666663
1988-12-31,302.5
1989-01-31,236.51331018518516
1989-02-28,252.2164319248826
1989-03-31,251.7107594936709
1989-04-30,245.02058823529413
1989-05-31,251.66666666666666
1989-06-30,180.879329004329
1989-07-31,130.7171497584541
1989-08-31,128.36263020833334
1989-09-30,148.05079908675796
1989-10-31,160.20833333333334
1989-11-30,
1989-12-31,226.84277777777777
1990-01-31,239.07103174603174
1990-02-28,205.78729838709677
1990-03-31,210.21239837398375
1990-04-30,239.9001937984496
1990-05-31,236.10909669211196
1990-06-30,254.42756410256413
1990-07-31,152.7042297979798
1990-08-31,132.38830532212884
1990-09-30,125.8150826446281
1990-10-31,188.14420572916666
1990-11-30,225.29265873015873
1990-12-31,236.81303418803418
1991-01-31,238.06005208333332
1991-02-28,211.28339201877932
1991-03-31,212.0055751173709
1991-04-30,255.282634032634
1991-05-31,231.8254934210526
1991-06-30,189.70565476190478
1991-07-31,161.49070247933884
1991-08-31,116.02083333333333
1991-09-30,135.8293388429752
1991-10-31,199.2883950617284
1991-11-30,216.52941176470588
1991-12-31,224.76749363867685
1992-01-31,177.4851063829787
1992-02-29,146.105035971223
1992-03-31,160.80915404040405
1992-04-30,218.62431129476585
1992-05-31,227.5147492625369
1992-06-30,216.29611650485438
1992-07-31,146.70822368421054
1992-08-31,100.30229166666666
1992-09-30,97.74926470588235
1992-10-31,127.07460317460317
1992-11-30,147.13921568627453
1992-12-31,175.77450980392157
1993-01-31,65.7546130952381
1993-02-28,69.10677083333333
1993-03-31,71.53046218487395
1993-04-30,57.108402777777776
1993-05-31,48.444607843137256
1993-06-30,76.4954347826087
1993-07-31,57.14531746031746
1993-08-31,63.73757183908046
1993-09-30,59.50038226299694
1993-10-31,63.91953125
1993-11-30,84.37597323600973
1993-12-31,87.34908854166666
1994-01-31,205.63634259259257
1994-02-28,192.79348370927318
1994-03-31,224.34289044289045
1994-04-30,192.10531400966184
1994-05-31,226.79234068627449
1994-06-30,194.25432098765432
1994-07-31,136.47733333333335
1994-08-31,149.60667989417988
1994-09-30,176.9740990990991
1994-10-31,
1994-11-30,230.04403892944038
1994-12-31,282.91829096045194
1995-01-31,227.10223311546838
1995-02-28,229.95201525054466
1995-03-31,196.76102320675105
1995-04-30,192.95299145299145
1995-05-31,205.87582815734987
1995-06-30,196.11713541666666
1995-07-31,158.20725308641977
1995-08-31,140.09937888198758
1995-09-30,150.76677215189872
1995-10-31,181.16011111111112
1995-11-30,218.84226190476193
1995-12-31,247.1796709129512
1996-01-31,216.8501893939394
1996-02-29,227.1638418079096
1996-03-31,230.2787356321839
1996-04-30,242.92965686274508
1996-05-31,244.93798449612405
1996-06-30,238.81969696969696
1996-07-31,152.90637550200802
1996-08-31,149.7356425702811
1996-09-30,180.1620654396728
1996-10-31,219.89212398373985
1996-11-30,244.85640625000002
1996-12-31,265.813125
1997-01-31,220.90357142857144
1997-02-28,228.39416666666665
1997-03-31,212.58434489402697
1997-04-30,171.10759493670886
1997-05-31,185.2120253164557
1997-06-30,159.4435817805383
1997-07-31,138.48241308793456
1997-08-31,123.96270576131687
1997-09-30,138.69989648033126
1997-10-31,159.59114583333331
1997-11-30,172.2560606060606
1997-12-31,171.92622080679405
1998-01-31,234.7406565656566
1998-02-28,227.11179718875502
1998-03-31,208.3422619047619
1998-04-30,218.641006097561
1998-05-31,232.84513052208834
1998-06-30,188.3827160493827
1998-07-31,151.28629032258064
1998-08-31,145.17477924944814
1998-09-30,159.62138888888887
1998-10-31,212.1175925925926
1998-11-30,241.69577205882354
1998-12-31,281.56404958677683
1999-01-31,225.43921845574388
1999-02-28,213.3749521072797
1999-03-31,229.63181818181818
1999-04-30,233.21049019607844
1999-05-31,214.34545454545454
1999-06-30,195.19977168949774
1999-07-31,150.83890845070422
1999-08-31,139.20805180180182
1999-09-30,146.99773242630386
1999-10-31,167.00442176870746
1999-11-30,207.47185314685314
1999-12-31,234.19738442822384
2000-01-31,195.77237654320987
2000-02-29,176.06944444444446
2000-03-31,181.43677083333333
2000-04-30,192.32505020080322
2000-05-31,181.84984662576687
2000-06-30,151.20299145299145
2000-07-31,117.52004219409284
2000-08-31,112.12573839662446
2000-09-30,123.06826131687244
2000-10-31,172.57359375
2000-11-30,191.679375
2000-12-31,220.1709595959596
2001-01-31,205.13824662813101
2001-02-28,207.7809454191033
2001-03-31,181.42433712121212
2001-04-30,205.5014367816092
2001-05-31,185.90549348230914
2001-06-30,149.00635162601625
2001-07-31,111.9466765873016
2001-08-31,119.02119883040936
2001-09-30,128.72504708097927
2001-10-31,155.6051029962547
2001-11-30,189.67217432950193
2001-12-31,198.49857142857144
2002-01-31,149.70687134502924
2002-02-28,141.26583820662768
2002-03-31,143.21490196078432
2002-04-30,158.65882352941176
2002-05-31,155.45397286821705
2002-06-30,124.34331337325348
2002-07-31,136.64874301675977
2002-08-31,106.51119791666666
2002-09-30,113.00846354166667
2002-10-31,146.19720767888305
2002-11-30,160.8813596491228
2002-12-31,174.8793402777778
2003-01-31,163.87551020408162
2003-02-28,120.67440476190477
2003-03-31,162.77994227994228
2003-04-30,178.5058962264151
2003-05-31,262.1709533607682
2003-06-30,150.4575925925926
2003-07-31,119.96376811594203
2003-08-31,123.85387045813587
2003-09-30,113.2969011725293
2003-10-31,247.7561274509804
2003-11-30,235.5969742063492
2003-12-31,230.4333333333333
2004-01-31,164.66149553001276
2004-02-29,166.79201574693423
2004-03-31,176.30447302958888
2004-04-30,181.926179007431
2004-05-31,175.25989247311827
2004-06-30,150.0716908662199
2004-07-31,144.17729123173277
2004-08-31,137.63503236245953
2004-09-30,138.56565995525725
2004-10-31,162.8929719020173
2004-11-30,177.10727398779812
2004-12-31,191.14591806020067
2005-01-31,207.54604938271606
2005-02-28,198.64138783269962
2005-03-31,196.02749122807018
2005-04-30,211.0669482386772
2005-05-31,207.01853161843513
2005-06-30,190.05101728863588
2005-07-31,169.0308925476603
2005-08-31,164.82149172310008
2005-09-30,158.744420702754
2005-10-31,189.27123477297894
2005-11-30,209.69560646900268
2005-12-31,219.7185972222222
2006-01-31,219.62326679046734
2006-02-28,216.74978132951654
2006-03-31,198.16851390618515
2006-04-30,207.84446274186908
2006-05-31,196.5751535933705
2006-06-30,179.93274528914878
2006-07-31,162.13175097015923
2006-08-31,157.95584865732633
2006-09-30,160.14317228312356
2006-10-31,188.6559970063777
2006-11-30,189.80475404530742
2006-12-31,207.06396216360244
2007-01-31,211.16080729166666
2007-02-28,185.62445016526826
2007-03-31,191.22920338983053
2007-04-30,196.26597753491194
2007-05-31,193.23895566239315
2007-06-30,158.8907456140351
2007-07-31,151.73100058685446
2007-08-31,152.0452136752137
2007-09-30,157.06516446977795
2007-10-31,185.5825090075336
2007-11-30,204.38129979783565
2007-12-31,215.94269256643122
2008-01-31,214.378173739572
2008-02-29,221.0366323907455
2008-03-31,212.45358490566036
2008-04-30,204.75840443686008
2008-05-31,209.10915677374302
2008-06-30,172.39896980824153
2008-07-31,166.58730870396937
2008-08-31,162.66454230488694
2008-09-30,162.27130881938575
2008-10-31,204.09706564799092
2008-11-30,211.54453435019843
2008-12-31,222.8741285824942
2009-01-31,221.368165516308
2009-02-28,234.2324597606273
2009-03-31,226.88278595696488
2009-04-30,211.99652858060372
2009-05-31,204.96253280839895
2009-06-30,202.7507519824993
2009-07-31,162.45257314524557
2009-08-31,158.15089798850573
2009-09-30,184.77382451721243
2009-10-31,202.8761459589867
2009-11-30,204.1389423076923
2009-12-31,225.58880494505493
2010-01-31,188.28336039053272
2010-02-28,175.832361049599
2010-03-31,182.25337660552384
2010-04-30,177.58978412860748
2010-05-31,186.75366302605434
2010-06-30,155.81894982457723
2010-07-31,129.08304908844883
2010-08-31,131.0799943730607
2010-09-30,137.35528365025303
2010-10-31,153.8060560678479
2010-11-30,164.55965209401833
2010-12-31,185.16213987889842
2011-01-31,117.82478273098194
2011-02-28,113.97934765671819
2011-03-31,113.30759449635255
2011-04-30,110.22580407501533
2011-05-31,113.37593309149234
2011-06-30,99.072490857705
2011-07-31,96.58883063778558
2011-08-31,92.48527258652321
2011-09-30,97.80646775211298
2011-10-31,110.69642278570524
2011-11-30,114.1310777952203
2011-12-31,116.90294663965678
2012-01-31,99.69625383812331
2012-02-29,101.77398740310078
2012-03-31,105.27811951244705
2012-04-30,98.387683598351
2012-05-31,100.40681664037855
2012-06-30,95.64097879439664
2012-07-31,89.69315830721003
2012-08-31,87.05097668051359
2012-09-30,90.83238441428739
2012-10-31,98.702019035533
2012-11-30,106.08244025317892
2012-12-31,106.96002963150207
2013-01-31,106.72924551324668
2013-02-28,103.04266604009543
2013-03-31,100.90840710647849
2013-04-30,101.48483021812622
2013-05-31,101.38299687389906
2013-06-30,91.29330856830074
2013-07-31,87.5383226437309
2013-08-31,87.01771815047556
2013-09-30,90.91497089379769
2013-10-31,93.51242018568823
2013-11-30,101.6362188085454
2013-12-31,101.8968214505905
2014-01-31,102.78527979227684
2014-02-28,98.51243797194452
2014-03-31,100.24131134086902
2014-04-30,97.96376483427272
2014-05-31,97.27840122320252
2014-06-30,94.88846793864154
2014-07-31,87.69691237007346
2014-08-31,87.76029513368212
2014-09-30,90.161689776308
2014-10-31,96.35546125822005
2014-11-30,100.51395804637676
2014-12-31,101.77908042608618
2015-01-31,101.25888233070545
2015-02-28,102.45265745387489
2015-03-31,98.94700810567466
2015-04-30,98.55673905743956
2015-05-31,98.00166904739066
2015-06-30,88.80668308259769
2015-07-31,82.32229180092034
2015-08-31,80.7573063090824
2015-09-30,87.6366682960703
2015-10-31,96.27266561630037
2015-11-30,102.91826808887187
2015-12-31,106.08107009045698
